focus_id,focus_name,description
1,Disabled women,Centers disabled women or accessibility
2,Older women,Centers or especially seeks older women
3,Recovery/substance-free,"Sobriety, 12-step, or drug/alcohol-free as a defining rule of the place"
4,Working-class women,Explicitly centers working-class women
5,Lesbian separatism,"Names separatism, or says only lesbians may live on the land"
6,Spirituality/ritual,"Spiritual practice, ritual, or celebration as part of its purpose"
7,Farming/self-sufficiency,"Food production, homesteading, or self-sufficiency as a stated goal"
8,Workshops/education,"Runs workshops, classes, or skill-sharing"
9,Archives/cultural work,"Houses archives, presses, arts, or cultural production"
10,Environmentalism/eco-friendly,"Chemical-free land, or another explicit environmental practice, as a rule or purpose of the place"
11,Women of color,"Explicitly invites, recruits, or centers women of color"
